layer_name,Name,Description,longitude,latitude,Maps link
"Hotels and accomodation, charging on private premises",Mercure Hotel Duesseldorf Seestern,Source: tff-forum.de,6.73668,51.24051,"https://www.google.com/maps/place/51.24051,6.73668"
"Hotels and accomodation, charging on private premises",Maritim Strandhotel Travemünde,Source: tff-forum.de,10.881013,53.961948,"https://www.google.com/maps/place/53.961948,10.881013"
"Hotels and accomodation, charging on private premises",Waldhotel Stuttgart GmbH,Source: tff-forum.de,9.19193,48.750573,"https://www.google.com/maps/place/48.750573,9.19193"
"Hotels and accomodation, charging on private premises",Hotel Am Schloss,Source: tff-forum.de,9.052383,48.519939,"https://www.google.com/maps/place/48.519939,9.052383"
"Hotels and accomodation, charging on private premises",Hotel Das Schoolössl,Source: tff-forum.de,11.54874,47.75702,"https://www.google.com/maps/place/47.75702,11.54874"
"Hotels and accomodation, charging on private premises",Essentis Biohotel,Source: tff-forum.de,13.54024,52.45715,"https://www.google.com/maps/place/52.45715,13.54024"
"Hotels and accomodation, charging on private premises",Munich Marriott Hotel,Source: tff-forum.de,11.592595,48.174588,"https://www.google.com/maps/place/48.174588,11.592595"
"Hotels and accomodation, charging on private premises",Best Western Premier Hotel Villa Stokkum,Source: tff-forum.de,8.915616,50.104377,"https://www.google.com/maps/place/50.104377,8.915616"
"Hotels and accomodation, charging on private premises",Meliá Düsseldorf,Source: tff-forum.de,6.778384,51.23315,"https://www.google.com/maps/place/51.23315,6.778384"
"Hotels and accomodation, charging on private premises",Landhaus Zur Ohe,Source: tff-forum.de,13.342468,48.823628,"https://www.google.com/maps/place/48.823628,13.342468"
"Hotels and accomodation, charging on private premises",Pension Gruber,Source: tff-forum.de,12.484872,49.097668,"https://www.google.com/maps/place/49.097668,12.484872"
"Hotels and accomodation, charging on private premises",Herrenkrug Park Hotel an der Elbe,Source: tff-forum.de,11.679137,52.15373,"https://www.google.com/maps/place/52.15373,11.679137"
"Hotels and accomodation, charging on private premises",GHOTEL hotel & living Kiel,Source: tff-forum.de,10.104902,54.337788,"https://www.google.com/maps/place/54.337788,10.104902"
"Hotels and accomodation, charging on private premises",Gradonna ****s Mountain Resort Châlets & Hotel,Source: tff-forum.de,12.635882,47.014373,"https://www.google.com/maps/place/47.014373,12.635882"
"Hotels and accomodation, charging on private premises",Hotel Galtenberg,Source: tff-forum.de,11.96056,47.373846,"https://www.google.com/maps/place/47.373846,11.96056"
"Hotels and accomodation, charging on private premises",Prechtlhof,Source: tff-forum.de,14.475522,46.873097,"https://www.google.com/maps/place/46.873097,14.475522"
"Hotels and accomodation, charging on private premises",Frühstückspension Haus Gerold,Source: tff-forum.de,11.007869,46.962666,"https://www.google.com/maps/place/46.962666,11.007869"
"Hotels and accomodation, charging on private premises",Hotel Garni Loipenhof,Source: tff-forum.de,16.111498,46.994714,"https://www.google.com/maps/place/46.994714,16.111498"
"Hotels and accomodation, charging on private premises",Familotel Bären am See,Source: tff-forum.de,8.47426,48.54936,"https://www.google.com/maps/place/48.54936,8.47426"
"Hotels and accomodation, charging on private premises",Top Hotel Hochgurgl,Source: tff-forum.de,11.051208,46.899572,"https://www.google.com/maps/place/46.899572,11.051208"
"Hotels and accomodation, charging on private premises",Wald & Schlosshotel Friedrichsruhe,Source: tff-forum.de,9.526363,49.243389,"https://www.google.com/maps/place/49.243389,9.526363"
"Hotels and accomodation, charging on private premises",Hotel Alte Bauerschänke,Source: tff-forum.de,7.867936,49.988553,"https://www.google.com/maps/place/49.988553,7.867936"
"Hotels and accomodation, charging on private premises",InterCityHotel Wuppertal,Source: tff-forum.de,7.151656,51.255851,"https://www.google.com/maps/place/51.255851,7.151656"
"Hotels and accomodation, charging on private premises",Hotel Landgasthof Schäfle,Source: tff-forum.de,9.617104,47.260761,"https://www.google.com/maps/place/47.260761,9.617104"
"Hotels and accomodation, charging on private premises",Altes Landhaus Meerdorf,Source: tff-forum.de,10.315765,52.346077,"https://www.google.com/maps/place/52.346077,10.315765"
"Hotels and accomodation, charging on private premises",Designhotel Wienecke XI. Hannover,Source: tff-forum.de,9.77678,52.327169,"https://www.google.com/maps/place/52.327169,9.77678"
"Hotels and accomodation, charging on private premises",Falkensteiner Club Funimation Katschberg,Source: tff-forum.de,13.619041,47.05731,"https://www.google.com/maps/place/47.05731,13.619041"
"Hotels and accomodation, charging on private premises",Appartements Tanafreida Montafon,Source: tff-forum.de,9.976089,47.026493,"https://www.google.com/maps/place/47.026493,9.976089"
"Hotels and accomodation, charging on private premises",Gartenhotel Crystal****,Source: tff-forum.de,11.845174,47.341141,"https://www.google.com/maps/place/47.341141,11.845174"
"Hotels and accomodation, charging on private premises",Retter Seminar Hotel Restaurant,Source: tff-forum.de,15.865544,47.304327,"https://www.google.com/maps/place/47.304327,15.865544"
"Hotels and accomodation, charging on private premises","Landhaus ""Zum Steinbock""",Source: tff-forum.de,12.970812,47.405358,"https://www.google.com/maps/place/47.405358,12.970812"
"Hotels and accomodation, charging on private premises",Posthotel Achenkirch,Source: tff-forum.de,11.707672,47.527371,"https://www.google.com/maps/place/47.527371,11.707672"
"Hotels and accomodation, charging on private premises",Grandhotel Lienz,Source: tff-forum.de,12.771804,46.831048,"https://www.google.com/maps/place/46.831048,12.771804"
"Hotels and accomodation, charging on private premises",Hotel Post Lermoos,,10.887775,47.398243,"https://www.google.com/maps/place/47.398243,10.887775"
"Hotels and accomodation, charging on private premises",Leading Family Hotel and Resort Alpenrose,Source: tff-forum.de,10.880938,47.402728,"https://www.google.com/maps/place/47.402728,10.880938"
"Hotels and accomodation, charging on private premises",Krumers Post Hotel & Spa ****,Source: tff-forum.de,11.187678,47.328784,"https://www.google.com/maps/place/47.328784,11.187678"
"Hotels and accomodation, charging on private premises",Reiters Supremehotel,Source: tff-forum.de,16.237556,47.323149,"https://www.google.com/maps/place/47.323149,16.237556"
"Hotels and accomodation, charging on private premises",At the Park Hotel,Source: tff-forum.de,16.234795,48.010526,"https://www.google.com/maps/place/48.010526,16.234795"
"Hotels and accomodation, charging on private premises",Novotel Andorra,"Red industry adapter and schuko. € 13,- EUR for parking for 24h an € 1,16 EUR per hour charging",1.527472,42.507536,"https://www.google.com/maps/place/42.507536,1.527472"
"Hotels and accomodation, charging on private premises","Hotel Sonnenhof, Pertisau",1 psc 3 phase / 16 amp. Super restaurant and nice hotel,11.892947,47.156812,"https://www.google.com/maps/place/47.156812,11.892947"
"Hotels and accomodation, charging on private premises",Parador de Mojácar,Three phase 32 A and Schuko 220V,-1.831438,37.131909,"https://www.google.com/maps/place/37.131909,-1.831438"
"Hotels and accomodation, charging on private premises",Parador de Toledo,"2 x 400V/32A, 3 phase, 5 pins",-4.023205,39.848973,"https://www.google.com/maps/place/39.848973,-4.023205"
"Hotels and accomodation, charging on private premises",Parador Cordoba Hotel Hotell,1x 400V/32A + 2x schuko 220V/16A,-4.800475,37.906238,"https://www.google.com/maps/place/37.906238,-4.800475"
"Hotels and accomodation, charging on private premises",Parador de Turismo de Ávila,"1x 400V/32A, 3 phase, 5 pins",-4.70205,40.658027,"https://www.google.com/maps/place/40.658027,-4.70205"
"Hotels and accomodation, charging on private premises",Parador Santillana Mar Hotell,400V/32A red plug tre phase 5 pins,-4.108085,43.390882,"https://www.google.com/maps/place/43.390882,-4.108085"
"Hotels and accomodation, charging on private premises",Parador de Benavente,"1x 400V/32A red plug, 3 phase",-5.68101,41.99828,"https://www.google.com/maps/place/41.99828,-5.68101"
"Hotels and accomodation, charging on private premises",Parador de Salamanca,"400V/32A, 3 phase, 5 pins ",-5.672367,40.95308,"https://www.google.com/maps/place/40.95308,-5.672367"
"Hotels and accomodation, charging on private premises",Hotel Rector Hotell,"Not confirmed, but was planning to install 3-phase plug",-5.665725,40.95889,"https://www.google.com/maps/place/40.95889,-5.665725"
"Hotels and accomodation, charging on private premises",Parador de León,"1x 400V/16A, but 32 A plug, will probably be upgraded to 32 A, red plug, 3 phase, 5 pins",-5.582294,42.601867,"https://www.google.com/maps/place/42.601867,-5.582294"
"Hotels and accomodation, charging on private premises",ME Madrid Reina Victoria,"400V/16A, red plug, 3 phase, 5 pins ",-3.701456,40.414516,"https://www.google.com/maps/place/40.414516,-3.701456"
"Hotels and accomodation, charging on private premises",Parador de la Seu d'Urgell,"400V/32A, red plug, 3 phase, 5 pins",1.462067,42.358653,"https://www.google.com/maps/place/42.358653,1.462067"
"Hotels and accomodation, charging on private premises",Parador de Tortosa,"400V/32A, red plug, 3 phase, 5 pins",0.524024,40.815073,"https://www.google.com/maps/place/40.815073,0.524024"
"Hotels and accomodation, charging on private premises",Parador de El Saler,"400V/32A, red plug, 3 phase, 5 pins",-0.301823,39.320653,"https://www.google.com/maps/place/39.320653,-0.301823"
"Hotels and accomodation, charging on private premises",Parador de Tordesillas Hotell,"400V/32A, red plug, 3 phase, 5 pins",-5.01019,41.492756,"https://www.google.com/maps/place/41.492756,-5.01019"
"Hotels and accomodation, charging on private premises",Parador de Limpias,"400V/32A, red plug, 3 phase, 5 pins",-3.423343,43.357472,"https://www.google.com/maps/place/43.357472,-3.423343"
"Hotels and accomodation, charging on private premises",Parador de Argómaniz,"400V/32A, red plug, 3 phase, 5 pins",-2.5415,42.867686,"https://www.google.com/maps/place/42.867686,-2.5415"
"Hotels and accomodation, charging on private premises",Hotel restaurant La Fauceille****,3 phase / 16 amps / 5 pins,2.897644,42.669593,"https://www.google.com/maps/place/42.669593,2.897644"
"Hotels and accomodation, charging on private premises",Hotel Suite Novotel Paris Velizy,One charging station outside the reception with Type 3c 3.7 kW + Schuko 3.7 kW. The reception has an RFID that is needed to activate the charging station. The parking garage has several several Schukos available on each level.,2.225933,48.781891,"https://www.google.com/maps/place/48.781891,2.225933"
"Hotels and accomodation, charging on private premises",Van Der Valk Hotel Brugge Oostkamp,Two Schukos near the wall to the left of the reception entrance. Inform the reception that you need to charge there because the parkings are reserved for HC.,3.245824,51.144441,"https://www.google.com/maps/place/51.144441,3.245824"
"Hotels and accomodation, charging on private premises",Hampton by Hilton Amsterdam Airport Schiphol,One Schuko outside the entrance on the HC parking. Ask the reception.,4.70228,52.295048,"https://www.google.com/maps/place/52.295048,4.70228"
"Hotels and accomodation, charging on private premises",Van der Valk Hotel Amersfoort-A1,"2x Type 2 with unknown speed. Requires an RFID to activate. Several Schukos at bicycle parking for charging electric bikes. If you ask the reception, you can park near the wall and plug into one of the Schukos.",5.398234,52.195773,"https://www.google.com/maps/place/52.195773,5.398234"
"Hotels and accomodation, charging on private premises",Villa Bellagio - IGR Villejuif,"One Schuko available from the inside of the door leading to the parking garage. In order to charge here, you need at least 10 m extension cord. And the spot nearest the door is often occupied. So having a 25 m extension cord will be useful if you have to park further away in order to get juice.",2.347292,48.797935,"https://www.google.com/maps/place/48.797935,2.347292"
"Hotels and accomodation, charging on private premises",Motel Santa Cruz,Various 5-pins sockets (16A and 32A) 3 phase 400V in a storage building belonging to the motel. ,-3.471036,38.634749,"https://www.google.com/maps/place/38.634749,-3.471036"
"Hotels and accomodation, charging on private premises",Fru Haugans Hotel,"1 stk type2, gratis for hotellets gjester. Hotellet ligger bare 50m unna Mosjøen SC. ",13.1906,65.8358,"https://www.google.com/maps/place/65.8358,13.1906"
"Hotels and accomodation, charging on private premises",Hotel zur Schmiede,1 Shucko accessible from the small parking area.,8.431127,52.784596,"https://www.google.com/maps/place/52.784596,8.431127"
"Hotels and accomodation, charging on private premises",Scandic Syd Umeå,"<img src=""https://lh3.googleusercontent.com/umsh/AN6v0v7H14mfUXF3hi21eELZn_kma31EhabEUkRjkeTNKcL7I_QNu5JMqFrVcK9-ZupMRTTZ_-XyP5WR7BKI6nH8__42NeUEI0Bu0b9PpubdIOZnpqHE7l8__2VerldsLy3fgUef6y3oheNW1TwARMXBPDBQ3DYntA"" height=""200"" width=""auto"" /><br><br>3 phase / 16 amps / 5 pins Red 400V in the backyard. Not the one with the gate, but on the wall with a switch 0-1 Talk with the reception",20.259306,63.826874,"https://www.google.com/maps/place/63.826874,20.259306"
"Hotels and accomodation, charging on private premises",Scandic Syd Østersund,3 phase / 16 amps / 5 pins There is 2-3 of this and a lot of shuko. Ask reception,14.672413,63.159626,"https://www.google.com/maps/place/63.159626,14.672413"
"Hotels and accomodation, charging on private premises",Scandic Hotell Fauske,Payment. 22kW Type2 (Credits to Tesla Owners Club Norway),15.398308,67.259248,"https://www.google.com/maps/place/67.259248,15.398308"
"Hotels and accomodation, charging on private premises",Namsskogan Hotell,"2 x Type2, 22kW. (Credits to Tesla Owners Club Norway)",12.844926,64.743008,"https://www.google.com/maps/place/64.743008,12.844926"
"Hotels and accomodation, charging on private premises",Quality Hotel Skellefteå Stadshotell,"Type2, 22kW (Credits to Tesla Owners Club Norway)",20.950789,64.750251,"https://www.google.com/maps/place/64.750251,20.950789"
"Hotels and accomodation, charging on private premises",Laponia Hotell & Konferens AB,"Type 2, 22kW. Max SEK30 pr hour (Credits to Tesla Owners Club Norway)",19.185021,65.589763,"https://www.google.com/maps/place/65.589763,19.185021"
"Hotels and accomodation, charging on private premises",Thon hotell Linne,"2units 22kW Type 2-chargers and 2units 3.6kW  Type 2 in the garage. Charging is free, but at night it costs approx. NOK200 to park in the garage.",10.828823,59.939657,"https://www.google.com/maps/place/59.939657,10.828823"
"Hotels and accomodation, charging on private premises",Holmen Fjordhotell,Three red 400V 16A 3-phase sockets in garage,10.494851,59.851513,"https://www.google.com/maps/place/59.851513,10.494851"
"Hotels and accomodation, charging on private premises","Hotel Rössl, Rabland SüdTirol, Italia","2 x 11kW (3phase16A 400V) Contact Stefan Pircher for help. Phone +39 3403849365.    Nice, very clean highstandard hotel.   Very good restaurant.  Open: February - november.  http://www.roessl.com/en/hotel/the-r%C3%B6ssl-family/44-0.html",11.062717,46.669936,"https://www.google.com/maps/place/46.669936,11.062717"
"Hotels and accomodation, charging on private premises","K+K Hotel Fenix, Prague","Type2, 22kW in the garage",14.427412,50.079482,"https://www.google.com/maps/place/50.079482,14.427412"
"Hotels and accomodation, charging on private premises",Hotel SB Plaza Europa,"22kW Type2 charger, book in advance!",2.132738,41.359217,"https://www.google.com/maps/place/41.359217,2.132738"
"Hotels and accomodation, charging on private premises",BEST WESTERN Hotel Acqua Novella,Shuko from janitor's office!,8.4324,44.2364,"https://www.google.com/maps/place/44.2364,8.4324"
"Hotels and accomodation, charging on private premises",Ökotel Hamburg,Source: Tesla Forum Germany,9.90922,53.64183,"https://www.google.com/maps/place/53.64183,9.90922"
"Hotels and accomodation, charging on private premises",Ibis Styles Zeebrugge,"I asked for charging and got to park in the garage almost alone. They have a Schuko outlet in the room in the opposite corner of the entrance. Their extention cord is 50m, so bring your own. You can park close to the room with the outlet.",3.202265,51.329045,"https://www.google.com/maps/place/51.329045,3.202265"
"Hotels and accomodation, charging on private premises",Residence Eza Vista,"I asked for charging. They have a couple of Schuko outlets in the garage. Make sure they save the space close to one of them, so you don't need an extention cord. I think it was parking 3 and 4 (you need both, they are narrow). I charged at 10 amp to make sure the fuse didn't blow.",7.367239,43.72898,"https://www.google.com/maps/place/43.72898,7.367239"
"Hotels and accomodation, charging on private premises",Hotel Rheinischer Hof ,"I asked for charging and they saved the parking space close to the entrance. There's Shucko there and an extention cord. They day after they also said there's a 400v 16amp indoor. I did not check it, so I marked this spot with Schuko. Charged at 10 amps.",11.074122,47.489274,"https://www.google.com/maps/place/47.489274,11.074122"
"Hotels and accomodation, charging on private premises",Legoland Feriendorf,"We stayed at the Ritterburg, but it was ok for them that I parked at the camping to charge. There's blue CEE (16 amps).",10.309144,48.426126,"https://www.google.com/maps/place/48.426126,10.309144"
"Hotels and accomodation, charging on private premises",First Hotel Europa,Two charging stations in the garage,9.913203,57.044071,"https://www.google.com/maps/place/57.044071,9.913203"
"Hotels and accomodation, charging on private premises",Gutshof Ziegelhütte,Source: tff-forum.de,8.138705,49.285751,"https://www.google.com/maps/place/49.285751,8.138705"
"Hotels and accomodation, charging on private premises",Sorell Hotel Sonnental,Source: tff-forum.de,8.604644,47.396174,"https://www.google.com/maps/place/47.396174,8.604644"
"Hotels and accomodation, charging on private premises",Hotel Union Geiranger AS,3units 22kW Type 2-chargers.  Costs NOK 100 for unlimited time if you are not a guest. They have Type 2-cables in the reception.   Swimmingpool and spa. A spectacular carmuseum in the basement.,7.210381,62.096556,"https://www.google.com/maps/place/62.096556,7.210381"
"Hotels and accomodation, charging on private premises",Låsta Bed & Breakfast Hotell,,17.092302,59.337941,"https://www.google.com/maps/place/59.337941,17.092302"
"Hotels and accomodation, charging on private premises",Hotel Hullu Poro Levi Center,"Several 22kW, one 11kW and schuss",24.813639,67.807641,"https://www.google.com/maps/place/67.807641,24.813639"
"Hotels and accomodation, charging on private premises",Dufweholms Herrgård,One or two shuko-outlets,16.19391,58.970944,"https://www.google.com/maps/place/58.970944,16.19391"
"Hotels and accomodation, charging on private premises",GudbrandsGard Hotel,Two schuko-outlets in the garage,10.136261,61.471148,"https://www.google.com/maps/place/61.471148,10.136261"
"Hotels and accomodation, charging on private premises",Hotel Riverton,3 x Type2 16A & 32A in the garage. Bring your own cable. Call for reservation.,11.956679,57.703747,"https://www.google.com/maps/place/57.703747,11.956679"
"Hotels and accomodation, charging on private premises",Sundbytunet,"11 kW, red Tesla adapter",11.169475,60.142625,"https://www.google.com/maps/place/60.142625,11.169475"
"Hotels and accomodation, charging on private premises",Historisches Alpinhotel Grimsel Hospiz,,8.332673,46.57168,"https://www.google.com/maps/place/46.57168,8.332673"
"Hotels and accomodation, charging on private premises",Scandic Alta,2 x 22kW Type 2,23.26801,69.96591,"https://www.google.com/maps/place/69.96591,23.26801"
"Hotels and accomodation, charging on private premises",Skagen Strand,2 x 32A blue Tesla adapter and 1 x 16A blue CEE (16A-32A adapter needed),10.465309,57.66045,"https://www.google.com/maps/place/57.66045,10.465309"
"Hotels and accomodation, charging on private premises",Feriecenter Slettestrand,32A 5-pin. (32A-16A adapter needed) They charge pr kWh.,9.363515,57.151605,"https://www.google.com/maps/place/57.151605,9.363515"
"Hotels and accomodation, charging on private premises",Scandic Hotel Backadal,"1 x 32A CEE behind gates for bus parking. Ask reception, they will open. (32A-16A adapter needed.) They also have two shuko outlets in the garage. ",11.989496,57.749029,"https://www.google.com/maps/place/57.749029,11.989496"
"Hotels and accomodation, charging on private premises",Nutheim Gjestgiveri,Free 22kW Type 2 charging for all guests,8.548414,59.570472,"https://www.google.com/maps/place/59.570472,8.548414"
"Hotels and accomodation, charging on private premises",Best Western Hotel Knudsens Gaard,One 400V 16A 3phase socket and one shuko.,10.394601,55.381395,"https://www.google.com/maps/place/55.381395,10.394601"
"Hotels and accomodation, charging on private premises",Hotel Edison GmbH,13A shuko in the garage,11.754732,54.149909,"https://www.google.com/maps/place/54.149909,11.754732"
"Hotels and accomodation, charging on private premises",Parco San Marco Lifestyle Beach Resort,"Two 400V, 32A, 3phase sockets. (Bring 32A-16A adapter)",9.099002,46.028731,"https://www.google.com/maps/place/46.028731,9.099002"
"Hotels and accomodation, charging on private premises",Sinatur hotel Storebælt,16A CEE 1-phase blue socket (Blue Tesla adapter),10.816747,55.309897,"https://www.google.com/maps/place/55.309897,10.816747"
"Hotels and accomodation, charging on private premises",Courtyard Cologne,2 x 22kW Type2,6.958916,50.948579,"https://www.google.com/maps/place/50.948579,6.958916"
"Hotels and accomodation, charging on private premises",Grand Hotel Bellevue,"2 x 32A blue CEE, free charging for guests",7.688737,62.565742,"https://www.google.com/maps/place/62.565742,7.688737"
"Hotels and accomodation, charging on private premises",Hotel Balneario Las Arenas,"One 22kW type2 and one 400V, 32A, 3phase red CEE. Charging is EUR20.",-0.324528,39.466454,"https://www.google.com/maps/place/39.466454,-0.324528"
"Hotels and accomodation, charging on private premises",Quality Straand Hotel & Resort,One 32A 230V blue CEE. Free charging for guests.,8.496694,59.324631,"https://www.google.com/maps/place/59.324631,8.496694"
"Hotels and accomodation, charging on private premises",Dalen Hotel,"One 22kW type2 and one shuko 16A. Free for hotel and restaurant guests, others pay NOK30/HR",8.011441,59.443892,"https://www.google.com/maps/place/59.443892,8.011441"
"Hotels and accomodation, charging on private premises",Radisson Blu Riverside Hotel Gothenburg,One 400V 16A red CEE and one schuko 10A,11.940835,57.707357,"https://www.google.com/maps/place/57.707357,11.940835"
"Hotels and accomodation, charging on private premises",Scandic Hotel Foresta,One shuko 16A,18.120967,59.360175,"https://www.google.com/maps/place/59.360175,18.120967"
